0.51507,0.18675,0.35168,2,0.70091,0.39362,0.47772,32,0.70478,0.4375,0.41079,2,0.64814,0.25333,0.48366,0,0.42825,0.14706,0.38519,6,0.49738,0.25641,0.48472,0,0.65079,0.21622,0.25159,39,0.60742,0.28571,0.3042,17,0.52188,0.20909,0.34163,20
0.54699,0.22289,0.52349,0,0.66463,0.42021,0.52332,53,0.69528,0.375,0.54357,19,0.50804,0.29333,0.57516,5,0.42219,0.11765,0.38519,17,0.71815,0.42308,0.53712,2,0.67619,0.40541,0.47452,17,0.51183,0.22078,0.49883,9,0.51425,0.2,0.41355,6
0.53725,0.20482,0.41208,1,0.54806,0.21809,0.41451,17,0.55823,0.1875,0.33195,25,0.62269,0.26667,0.52288,4,0.38572,0.11765,0.31852,7,0.54753,0.25641,0.27074,0,0.58377,0.27027,0.23567,9,0.45818,0.11688,0.43939,35,0.53911,0.2,0.41355,0
0.52768,0.23494,0.41477,32,0.66219,0.40426,0.50259,68,0.69587,0.5,0.46058,25,0.56275,0.28,0.30065,14,0.55897,0.20588,0.42222,10,0.51176,0.38462,0.48908,12,0.61517,0.2973,0.26752,21,0.49969,0.28571,0.42191,43,0.50891,0.23636,0.38451,26
0.5381,0.22892,0.42819,4,0.69283,0.42021,0.54197,52,0.70312,0.375,0.53527,35,0.56618,0.18667,0.42157,3,0.42448,0.14706,0.40741,15,0.48656,0.089744,0.21834,1,0.62645,0.24324,0.3121,37,0.5162,0.19481,0.50117,41,0.48326,0.21818,0.39004,17
0.49313,0.1988,0.29396,10,0.57178,0.28191,0.33782,61,0.67238,0.375,0.3278,27,0.5554,0.24,0.20915,13,0.5279,0.26471,0.34074,18,0.32128,0.10256,0.19651,1,0.52788,0.16216,0.17197,26,0.50199,0.27273,0.31235,29,0.4771,0.21818,0.29876,19
0.504,0.20482,0.48456,0,0.67974,0.45745,0.58549,51,0.6666,0.5,0.60996,52,0.59398,0.30667,0.40523,19,0.53661,0.20588,0.5037,19,0.51645,0.42308,0.61135,3,0.59311,0.37838,0.47771,27,0.48187,0.19481,0.65851,20,0.49384,0.20909,0.48824,8
0.5001,0.1988,0.33691,27,0.59141,0.30851,0.41244,57,0.71172,0.5,0.42739,22,0.57847,0.28,0.26471,22,0.57156,0.32353,0.4,14,0.40679,0.19231,0.34934,1,0.54635,0.16216,0.2293,25,0.50462,0.28571,0.44872,46,0.49325,0.23636,0.35131,31
0.51598,0.23494,0.52752,8,0.61788,0.31915,0.54611,41,0.59817,0.1875,0.56017,62,0.59896,0.34667,0.62745,22,0.4156,0.088235,0.46667,30,0.61733,0.47436,0.61135,12,0.58271,0.32432,0.58599,18,0.48101,0.20779,0.55944,31,0.53929,0.27273,0.57538,35
0.5485,0.22892,0.37852,19,0.55788,0.31915,0.43212,43,0.53419,0.125,0.49793,60,0.69895,0.4,0.51634,11,0.36373,0.11765,0.2963,24,0.57569,0.28205,0.39301,1,0.54681,0.27027,0.26433,16,0.51345,0.16883,0.52681,64,0.50536,0.2,0.44398,20
